state_code,state_name,country_name,country_code,state_node
ak,alaska,United States of America,USA,"{'uid': '96847d5a7150482e914c24b0051a7418', 'code': 'ak', 'name': 'alaska'}"
al,alabama,United States of America,USA,"{'uid': '2c8487cf585649dfab31b3380d1d5452', 'code': 'al', 'name': 'alabama'}"
ar,arkansas,United States of America,USA,"{'uid': '50fb981754c3467bafb5abd9d027353b', 'code': 'ar', 'name': 'arkansas'}"
az,arizona,United States of America,USA,"{'uid': 'a7f568fa82e2400294344a946c638252', 'code': 'az', 'name': 'arizona'}"
ca,california,United States of America,USA,"{'uid': 'e7326423fd7c4e9395d6fb57aafa8961', 'code': 'ca', 'name': 'california'}"
co,colorado,United States of America,USA,"{'uid': '8da8e79fe79b4744910cb185e991cd14', 'code': 'co', 'name': 'colorado'}"
ct,connecticut,United States of America,USA,"{'uid': '45547ff818a24db7a050f95b52a6a55f', 'code': 'ct', 'name': 'connecticut'}"
dc,district of columbia,United States of America,USA,"{'uid': '81d9d138217b43ca861809dc4d85049a', 'code': 'dc', 'name': 'district of columbia'}"
de,delaware,United States of America,USA,"{'uid': 'f1a33c6bd3cc4ceaa87f0b2b97975073', 'code': 'de', 'name': 'delaware'}"
fl,florida,United States of America,USA,"{'uid': 'd964de8f0ecb4a44a9b90885b2b9aa81', 'code': 'fl', 'name': 'florida'}"
ga,georgia,United States of America,USA,"{'uid': '1a22d6771c5c4f3a86aa98bb07739ea9', 'code': 'ga', 'name': 'georgia'}"
hi,hawaii,United States of America,USA,"{'uid': 'fda8ab1102294bf5a7a00a114ae2d96d', 'code': 'hi', 'name': 'hawaii'}"
ia,iowa,United States of America,USA,"{'uid': '82f1503e13be4e84a70765b787f40590', 'code': 'ia', 'name': 'iowa'}"
id,idaho,United States of America,USA,"{'uid': 'c15191e3bda64ab088f00847796d47ee', 'code': 'id', 'name': 'idaho'}"
il,illinois,United States of America,USA,"{'uid': '9416bfe5178f4f9eac45d0430051114b', 'code': 'il', 'name': 'illinois'}"
in,indiana,United States of America,USA,"{'uid': '9e19920be54c46df825c91e9c73e44c6', 'code': 'in', 'name': 'indiana'}"
ks,kansas,United States of America,USA,"{'uid': 'ff272e1dc09243aab2275877f894df4f', 'code': 'ks', 'name': 'kansas'}"
ky,kentucky,United States of America,USA,"{'uid': '7d05b6c6eb144ab3aa4a33af8bb9497a', 'code': 'ky', 'name': 'kentucky'}"
la,louisiana,United States of America,USA,"{'uid': 'f3b2da1ac4e74fc282812b22e4c93311', 'code': 'la', 'name': 'louisiana'}"
ma,massachusetts,United States of America,USA,"{'uid': 'bcfea3b4e3e942d9b7bb4079bddb6fd0', 'code': 'ma', 'name': 'massachusetts'}"
md,maryland,United States of America,USA,"{'uid': '347f4cb5dd1e4cac8f468204dd2a5f86', 'code': 'md', 'name': 'maryland'}"
me,maine,United States of America,USA,"{'uid': '38c33d0ce0ae41d29e61383191b4c265', 'code': 'me', 'name': 'maine'}"
mi,michigan,United States of America,USA,"{'uid': '8285a0c6c9404e4c8f4713d6cc30d6c1', 'code': 'mi', 'name': 'michigan'}"
mn,minnesota,United States of America,USA,"{'uid': '03e505396c0b476ca73c988a08d472e1', 'code': 'mn', 'name': 'minnesota'}"
mo,missouri,United States of America,USA,"{'uid': 'f06d0cd4229e4a7faf8369fd5521b45e', 'code': 'mo', 'name': 'missouri'}"
ms,mississippi,United States of America,USA,"{'uid': '6b3de7652be4433db1e3cd2395ec7602', 'code': 'ms', 'name': 'mississippi'}"
mt,montana,United States of America,USA,"{'uid': 'c395a31cfb994895a4e139ce9e6e3b7c', 'code': 'mt', 'name': 'montana'}"
nc,north carolina,United States of America,USA,"{'uid': '19b01c5104894e3b841234abcb021860', 'code': 'nc', 'name': 'north carolina'}"
nd,north dakota,United States of America,USA,"{'uid': '6370fa9b1f0f4b79b4bed59567952e90', 'code': 'nd', 'name': 'north dakota'}"
ne,nebraska,United States of America,USA,"{'uid': 'e21f0404844840dc8442626baaabb1f9', 'code': 'ne', 'name': 'nebraska'}"
nh,new hampshire,United States of America,USA,"{'uid': 'ddc304bfe20d49e093b29583d480a612', 'code': 'nh', 'name': 'new hampshire'}"
nj,new jersey,United States of America,USA,"{'uid': 'db7599d2a92b4a1ca7f084a4279d2703', 'code': 'nj', 'name': 'new jersey'}"
nm,new mexico,United States of America,USA,"{'uid': '06cc57bd24644ee48b5fa9781e9f67f5', 'code': 'nm', 'name': 'new mexico'}"
nv,nevada,United States of America,USA,"{'uid': 'e66fd128907d4917a391990b3ad26651', 'code': 'nv', 'name': 'nevada'}"
ny,new york,United States of America,USA,"{'uid': '4a2e1cafc9fe4020867113fd7a4543ea', 'code': 'ny', 'name': 'new york'}"
oh,ohio,United States of America,USA,"{'uid': 'fe5d4a9d5dc14fa3b365268f1d605a06', 'code': 'oh', 'name': 'ohio'}"
ok,oklahoma,United States of America,USA,"{'uid': '56015dbea9924e81ad366addffd900f2', 'code': 'ok', 'name': 'oklahoma'}"
or,oregon,United States of America,USA,"{'uid': 'e63995b0c5174445bd10c84c5d1d5f90', 'code': 'or', 'name': 'oregon'}"
pa,pennsylvania,United States of America,USA,"{'uid': '1f8acb03fd6a4ccd9e330d98bc0431d7', 'code': 'pa', 'name': 'pennsylvania'}"
pr,puerto rico,United States of America,USA,"{'uid': '1a6b81d95e054e89a622f24e7a3dddf1', 'code': 'pr', 'name': 'puerto rico'}"
ri,rhode island,United States of America,USA,"{'uid': '37b799a2db1f4076948b48e6f95a243d', 'code': 'ri', 'name': 'rhode island'}"
sc,south carolina,United States of America,USA,"{'uid': 'a4b0cce8b10a4ccdb835106001835d58', 'code': 'sc', 'name': 'south carolina'}"
sd,south dakota,United States of America,USA,"{'uid': 'f73341fc15654f1091a708fdd530fd7f', 'code': 'sd', 'name': 'south dakota'}"
tn,tennessee,United States of America,USA,"{'uid': '9933b232abcf456da33054fb375a4296', 'code': 'tn', 'name': 'tennessee'}"
tx,texas,United States of America,USA,"{'uid': '9cb12bca41c9492e99549177884bd46f', 'code': 'tx', 'name': 'texas'}"
ut,utah,United States of America,USA,"{'uid': '1b953ba7cd2e4aff8cec403edb2dc4e9', 'code': 'ut', 'name': 'utah'}"
va,virginia,United States of America,USA,"{'uid': '1647b1195bdd4b37b5599a7c335faac2', 'code': 'va', 'name': 'virginia'}"
vt,vermont,United States of America,USA,"{'uid': '6ed2e2bc0baf42b3a6bcce4b201bb988', 'code': 'vt', 'name': 'vermont'}"
wa,washington,United States of America,USA,"{'uid': '065e56c174e84cfd942cde01707a2fcb', 'code': 'wa', 'name': 'washington'}"
